pre,transition,vio,final
"(q14,instanceA-b0-instanceB,q15)","(q15,instanceA-c0-instanceC,q16)",[],False
"(q17,instanceC-a2-instanceA,q18)","(q18,instanceA-c0-instanceC,q19)",[],False
"(q18,instanceC-a0-instanceA,q24)","(q24,instanceA-b1-instanceB,q25)",[],False
"(q2,instanceC-a0-instanceA,q3)","(q3,instanceA-b1-instanceB,q4)",[],False
"(q7,instanceC-a2-instanceA,q8)","(q8,instanceA-c1-instanceC,q9)",[],True
"(q5,instanceA-b0-instanceB,q6)","(q6,instanceA-c0-instanceC,q7)",[],False
"(q18,instanceA-c0-instanceC,q19)","(q19,instanceA-b0-instanceB,q20)",[],False
"(q11,instanceC-a2-instanceA,q12)","(q12,instanceA-c2-instanceC,q13)",[],False
"(q4,instanceC-a0-instanceA,q5)","(q5,instanceA-b0-instanceB,q6)",[],False
"(q25,instanceA-c0-instanceC,q26)","(q26,instanceA-b0-instanceB,q27)",[],False
"(q20,instanceC-a0-instanceA,q21)","(q21,instanceA-c1-instanceC,q22)",[],False
,"(q0,instanceA-c2-instanceC,q17)",[],False
"(q13,instanceC-a0-instanceA,q14)","(q14,instanceA-b0-instanceB,q15)",[],False
"(q0,instanceC-a2-instanceA,q1)","(q1,instanceA-c2-instanceC,q2)",[],False
"(q0,instanceC-a2-instanceA,q1)","(q1,instanceA-c1-instanceC,q10)",[],False
"(q23,instanceC-a0-instanceA,q16)","(q16,instanceA-b1-instanceB,q9)",[],True
"(q15,instanceA-c0-instanceC,q16)","(q16,instanceA-b1-instanceB,q9)",[],True
"(q24,instanceA-b1-instanceB,q25)","(q25,instanceA-c0-instanceC,q26)",[],False
