pre,transition,vio,final
"(q10,instanceA-c1-instanceC,q11)","(q11,instanceB-c1-instanceC,q18)",[],False
"(q28,instanceC-b0-instanceB,q29)","(q29,instanceB-a0-instanceA,q30)",[],False
"(q19,instanceC-a2-instanceA,q20)","(q20,instanceB-c0-instanceC,q21)",[],False
"(q0,instanceB-c0-instanceC,q24)","(q24,instanceB-c1-instanceC,q25)",[],False
"(q24,instanceA-c1-instanceC,q32)","(q32,instanceB-c2-instanceC,q33)",[],False
"(q13,instanceC-b2-instanceB,q14)","(q14,instanceB-c1-instanceC,q15)",[],False
"(q6,instanceC-b0-instanceB,q7)","(q7,instanceB-c0-instanceC,q8)",[],False
"(q34,instanceA-c2-instanceC,q35)","(q35,instanceB-a0-instanceA,q36)",[],False
"(q3,instanceC-a2-instanceA,q4)","(q4,instanceB-c2-instanceC,q5)",[],False
,"(q0,instanceB-c2-instanceC,q10)",[],False
,"(q0,instanceB-c0-instanceC,q24)",[],False
"(q7,instanceB-c0-instanceC,q8)","(q8,instanceB-c1-instanceC,q9)",[],True
"(q0,instanceA-c2-instanceC,q1)","(q1,instanceB-a0-instanceA,q2)",[],False
"(q21,instanceC-b0-instanceB,q22)","(q22,instanceB-a0-instanceA,q23)",[],False
"(q36,instanceC-b0-instanceB,q37)","(q37,instanceB-c1-instanceC,q38)",[],False
"(q15,instanceA-c2-instanceC,q16)","(q16,instanceB-a0-instanceA,q17)",[],False
"(q16,instanceB-a0-instanceA,q17)","(q17,instanceB-c0-instanceC,q9)",[],True
"(q25,instanceA-c2-instanceC,q26)","(q26,instanceB-c2-instanceC,q27)",[],False
