pre,transition,vio,final
"(q14,instanceD-g1-instanceG,q15)","(q15,instanceG-i0-instanceI,q16)",[],False
"(q23,instanceH-g0-instanceG,q24)","(q24,instanceG-d3-instanceD,q7)",[],True
"(q0,instanceH-g4-instanceG,q8)","(q8,instanceG-h5-instanceH,q9)",[],False
"(q0,instanceH-g4-instanceG,q8)","(q8,instanceG-d5-instanceD,q14)",[],False
"(q17,instanceH-g2-instanceG,q18)","(q18,instanceG-e0-instanceE,q7)",[],True
"(q12,instanceB-g0-instanceG,q13)","(q13,instanceG-d0-instanceD,q7)",[],True
"(q9,instanceH-g3-instanceG,q10)","(q10,instanceG-i0-instanceI,q11)",[],False
"(q5,instanceH-g0-instanceG,q6)","(q6,instanceG-d4-instanceD,q7)",[],True
"(q2,instanceH-g1-instanceG,q3)","(q3,instanceG-f1-instanceF,q4)",[],False
"(q20,instanceH-g1-instanceG,q21)","(q21,instanceG-f1-instanceF,q22)",[],False
